0,1,2
,,
,,
,DV: Log(Similarity),DV: Log(Total Topic Overlap)
,(1),(2)
,,
Intercept,0.349**,0.310
,(0.168),(0.565)
Log_GeoDiff,-0.228***,-0.101
,(0.026),(0.087)
Log_TimeDiff,-0.209***,-0.137
,(0.043),(0.146)
Log_Time_x_Geo,0.024***,-0.077***
,(0.007),(0.022)
Observations,6328,6328
R2,0.063,0.114
Adjusted R2,0.062,0.114
Residual Std. Error,0.779 (df=6324),2.622 (df=6324)
F Statistic,140.795*** (df=3; 6324),271.539*** (df=3; 6324)
,,
Note:,*p<0.1; **p<0.05; ***p<0.01,*p<0.1; **p<0.05; ***p<0.01
