State,Year,Region,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
Michigan,1835,Midwest,0.0,0.0,0.2287685126066208,0.0,0.7685749530792236,0.0,0.0
Michigan,1850,Midwest,0.0,0.0,0.8783748149871826,0.0,0.12105172127485275,0.0,0.0
Michigan,1908,Midwest,0.0,0.0,0.9998254776000977,0.0,0.0,0.0,0.0
Michigan,1962,Midwest,0.01895962283015251,0.010236037895083427,0.7622389197349548,0.06280644237995148,0.0,0.14447075128555298,0.0
Minnesota,1857,Midwest,0.0,0.0,0.9997690320014954,0.0,0.0,0.0,0.0
Minnesota,1974,Midwest,0.023653561249375343,0.02045605704188347,0.9062769412994385,0.0,0.0,0.04919949173927307,0.0
Mississippi,1817,South,0.0,0.0,0.0,0.0,0.9975382089614868,0.0,0.0
Mississippi,1832,South,0.0,0.0,0.0,0.0,0.9985684156417847,0.0,0.0
Mississippi,1861,South,0.0,0.0,0.0,0.0,0.9975851774215698,0.0,0.0
Mississippi,1868,South,0.0,0.0,0.33229461312294006,0.0,0.6633050441741943,0.0,0.0
Mississippi,1890,South,0.0,0.05075535923242569,0.7307177782058716,0.0,0.2183522880077362,0.0,0.0
Montana,1889,West,0.0,0.0,0.9994533658027649,0.0,0.0,0.0,0.0
Montana,1973,West,0.024295860901474953,0.0,0.9704837203025818,0.0,0.0,0.0,0.0
Nevada,1864,West,0.03794974088668823,0.0,0.8005875945091248,0.029909411445260048,0.08466129750013351,0.046804171055555344,0.0
New Hampshire,1776,Northeast,0.0,0.010601428337395191,0.0,0.0,0.983428418636322,0.0,0.0
New Hampshire,1784,Northeast,0.0,0.0,0.0,0.0,0.9957044124603271,0.0,0.0
New Hampshire,1792,Northeast,0.0,0.0,0.0,0.0957474410533905,0.9039177894592285,0.0,0.0
New Jersey,1776,Northeast,0.0,0.0,0.0,0.0,0.9966419339179993,0.0,0.0
New Jersey,1844,Northeast,0.0,0.0,0.0,0.0,0.6613171100616455,0.26147589087486267,0.07595909386873245
