Label,Alabama 1819,Alabama 1861,Alabama 1865,Alabama 1868,Alabama 1875,Alabama 1901,Alaska 1836,Alaska 1959,Arizona 1912,Arkansas 1864,Arkansas 1868,Arkansas 1874,Colorado 1876,Connecticut 1662,Connecticut 1818,Connecticut 1955,Connecticut 1965,Delaware 1776,Delaware 1792,Delaware 1831,Delaware 1897,Florida 1838,Florida 1861,Florida 1865,Florida 1868,Florida 1885,Florida 1968,Hawaii 1959,Hawaii 1968,Hawaii 1978,Idaho 1890,Illinois 1818,Illinois 1848,Illinois 1870,Illinois 1970,Indiana 1816,Indiana 1851,Iowa 1846,Iowa 1857,Kansas 1859,Kentucky 1792,Kentucky 1799,Kentucky 1850,Kentucky 1890,Louisiana 1812,Louisiana 1845,Louisiana 1852,Louisiana 1861,Louisiana 1864,Louisiana 1868,Maine 1819,Maryland 1776,Maryland 1851,Maryland 1864,Maryland 1867,Michigan 1835,Michigan 1850,Michigan 1908,Michigan 1962,Minnesota 1857,Minnesota 1974,Mississippi 1817,Mississippi 1832,Mississippi 1861,Mississippi 1868,Mississippi 1890,Montana 1889,Montana 1973,Nevada 1864,New Hampshire 1776,New Hampshire 1784,New Hampshire 1792,New Jersey 1776,New Jersey 1844,New Jersey 1947,New Mexico 1911,New York 1777,New York 1821,New York 1846,New York 1894,New York 1938,North Carolina 1776,North Carolina 1868,North Carolina 1971,North Dakota 1889,North Dakota 1981,Ohio 1802,Ohio 1851,Oklahoma 1907,Pennsylvania 1776,Pennsylvania 1790,Pennsylvania 1839,Pennsylvania 1874,Pennsylvania 1969,Rhode Island 1843,Rhode Island 1986,South Carolina 1776,South Carolina 1778,South Carolina 1790,South Carolina 1861,South Carolina 1865,South Carolina 1868,South Carolina 1896,South Dakota 1889,Texas 1845,Texas 1866,Texas 1869,Texas 1876,Utah 1895,Washington 1889,West Virginia 1861,West Virginia 1872,Wyoming 1889
New York 1821,0.29,0.28,0.3,0.29,0.31,0.32,0.19,0.22,0.35,0.31,0.28,0.27,0.41,0.18,0.24,0.26,0.29,0.23,0.3,0.32,0.27,0.27,0.29,0.31,0.33,0.33,0.35,0.3,0.25,0.35,0.35,0.27,0.31,0.35,0.35,0.32,0.35,0.24,0.29,0.25,0.26,0.25,0.29,0.31,0.26,0.31,0.3,0.34,0.31,0.3,0.39,0.33,0.31,0.33,0.34,0.27,0.28,0.34,0.33,0.31,0.27,0.26,0.28,0.31,0.3,0.34,0.32,0.21,0.33,0.13,0.34,0.26,0.23,0.27,0.36,0.3,0.53,1.0,0.65,0.62,0.58,0.23,0.27,0.25,0.32,0.3,0.24,0.32,0.27,0.25,0.28,0.31,0.32,0.3,0.32,0.27,0.17,0.26,0.32,0.27,0.3,0.3,0.25,0.3,0.31,0.32,0.31,0.3,0.28,0.35,0.26,0.36,0.29
New York 1846,0.31,0.3,0.32,0.31,0.34,0.39,0.21,0.25,0.41,0.34,0.31,0.35,0.49,0.19,0.26,0.29,0.32,0.25,0.34,0.36,0.31,0.29,0.31,0.33,0.36,0.4,0.43,0.33,0.27,0.38,0.41,0.29,0.34,0.4,0.39,0.35,0.4,0.55,0.33,0.29,0.28,0.27,0.32,0.36,0.28,0.32,0.32,0.37,0.33,0.33,0.44,0.37,0.35,0.37,0.39,0.28,0.32,0.38,0.38,0.36,0.3,0.29,0.3,0.33,0.33,0.38,0.37,0.22,0.38,0.13,0.37,0.29,0.25,0.29,0.41,0.35,0.55,0.65,1.0,0.72,0.68,0.24,0.32,0.29,0.37,0.34,0.26,0.39,0.32,0.27,0.31,0.35,0.41,0.35,0.36,0.3,0.18,0.27,0.34,0.28,0.32,0.33,0.3,0.33,0.33,0.36,0.36,0.37,0.33,0.41,0.29,0.42,0.33
New York 1894,0.34,0.35,0.37,0.35,0.36,0.54,0.24,0.3,0.5,0.37,0.33,0.39,0.62,0.22,0.29,0.31,0.36,0.3,0.36,0.4,0.37,0.32,0.33,0.36,0.4,0.5,0.54,0.38,0.34,0.43,0.49,0.31,0.38,0.47,0.48,0.37,0.44,0.29,0.35,0.32,0.31,0.28,0.35,0.42,0.31,0.41,0.41,0.46,0.41,0.42,0.53,0.45,0.41,0.42,0.49,0.31,0.36,0.46,0.43,0.43,0.34,0.31,0.32,0.36,0.36,0.44,0.43,0.26,0.45,0.18,0.43,0.37,0.3,0.33,0.5,0.42,0.56,0.62,0.72,1.0,0.83,0.27,0.36,0.33,0.44,0.39,0.27,0.47,0.42,0.31,0.34,0.38,0.44,0.41,0.44,0.35,0.21,0.31,0.38,0.32,0.34,0.38,0.4,0.38,0.35,0.39,0.37,0.5,0.38,0.5,0.32,0.51,0.38
New York 1938,0.32,0.34,0.36,0.34,0.35,0.56,0.23,0.31,0.53,0.35,0.32,0.4,0.64,0.2,0.28,0.3,0.36,0.28,0.36,0.39,0.4,0.3,0.31,0.34,0.39,0.51,0.6,0.36,0.32,0.43,0.49,0.29,0.36,0.47,0.49,0.35,0.43,0.28,0.34,0.33,0.29,0.26,0.33,0.42,0.3,0.37,0.36,0.43,0.37,0.38,0.54,0.44,0.39,0.4,0.48,0.29,0.34,0.46,0.46,0.44,0.35,0.29,0.3,0.34,0.34,0.43,0.42,0.26,0.46,0.17,0.43,0.36,0.28,0.32,0.52,0.45,0.54,0.58,0.68,0.83,1.0,0.27,0.37,0.34,0.44,0.39,0.26,0.49,0.45,0.3,0.32,0.36,0.43,0.43,0.44,0.35,0.2,0.3,0.36,0.32,0.33,0.37,0.43,0.37,0.33,0.37,0.36,0.51,0.39,0.51,0.31,0.52,0.39
North Carolina 1776,0.2,0.25,0.22,0.21,0.22,0.25,0.14,0.17,0.25,0.21,0.2,0.21,0.32,0.13,0.18,0.18,0.22,0.48,0.19,0.21,0.21,0.19,0.24,0.21,0.23,0.25,0.27,0.2,0.17,0.23,0.25,0.19,0.22,0.25,0.26,0.21,0.27,0.18,0.22,0.19,0.17,0.16,0.2,0.23,0.19,0.21,0.21,0.28,0.21,0.22,0.28,0.41,0.22,0.24,0.26,0.36,0.19,0.24,0.22,0.23,0.19,0.18,0.18,0.23,0.19,0.23,0.23,0.15,0.24,0.18,0.25,0.2,0.39,0.18,0.25,0.22,0.23,0.23,0.24,0.27,0.27,1.0,0.65,0.65,0.24,0.22,0.16,0.25,0.21,0.46,0.18,0.2,0.22,0.21,0.24,0.22,0.35,0.2,0.23,0.28,0.23,0.23,0.21,0.2,0.19,0.2,0.2,0.23,0.2,0.25,0.17,0.25,0.2
North Carolina 1868,0.25,0.26,0.27,0.46,0.28,0.3,0.16,0.22,0.34,0.26,0.44,0.28,0.45,0.13,0.24,0.24,0.29,0.19,0.25,0.27,0.3,0.24,0.25,0.26,0.46,0.32,0.36,0.25,0.22,0.29,0.32,0.23,0.27,0.32,0.34,0.27,0.35,0.21,0.28,0.24,0.2,0.2,0.25,0.3,0.22,0.24,0.24,0.29,0.25,0.45,0.36,0.3,0.26,0.29,0.32,0.21,0.24,0.3,0.3,0.29,0.24,0.22,0.22,0.25,0.43,0.29,0.29,0.18,0.3,0.1,0.28,0.23,0.19,0.22,0.32,0.28,0.24,0.27,0.32,0.36,0.37,0.65,1.0,0.78,0.31,0.29,0.19,0.35,0.28,0.22,0.22,0.25,0.29,0.28,0.32,0.27,0.17,0.21,0.27,0.3,0.28,0.47,0.29,0.25,0.24,0.26,0.26,0.32,0.27,0.32,0.21,0.31,0.26
North Carolina 1971,0.25,0.26,0.27,0.26,0.29,0.28,0.16,0.21,0.3,0.26,0.26,0.26,0.39,0.11,0.21,0.23,0.28,0.19,0.24,0.26,0.25,0.24,0.26,0.26,0.27,0.28,0.34,0.25,0.21,0.3,0.3,0.24,0.27,0.3,0.34,0.27,0.32,0.21,0.26,0.21,0.2,0.2,0.25,0.29,0.22,0.24,0.24,0.28,0.24,0.26,0.32,0.27,0.25,0.28,0.29,0.2,0.23,0.28,0.29,0.26,0.24,0.22,0.22,0.24,0.24,0.27,0.28,0.23,0.28,0.1,0.27,0.22,0.17,0.21,0.3,0.26,0.22,0.25,0.29,0.33,0.34,0.65,0.78,1.0,0.28,0.28,0.2,0.32,0.24,0.22,0.22,0.24,0.27,0.27,0.29,0.28,0.16,0.19,0.25,0.26,0.28,0.28,0.28,0.24,0.24,0.25,0.25,0.29,0.25,0.3,0.21,0.29,0.25
North Dakota 1889,0.29,0.28,0.29,0.28,0.32,0.41,0.19,0.23,0.39,0.31,0.29,0.33,0.49,0.17,0.25,0.26,0.31,0.22,0.29,0.31,0.29,0.27,0.29,0.3,0.32,0.38,0.43,0.3,0.26,0.38,0.39,0.26,0.32,0.37,0.38,0.31,0.37,0.23,0.31,0.27,0.24,0.23,0.29,0.34,0.25,0.29,0.29,0.34,0.29,0.31,0.42,0.35,0.31,0.33,0.38,0.25,0.29,0.37,0.36,0.36,0.29,0.26,0.26,0.29,0.29,0.36,0.54,0.21,0.37,0.13,0.33,0.28,0.22,0.25,0.38,0.34,0.31,0.32,0.37,0.44,0.44,0.24,0.31,0.28,1.0,0.82,0.23,0.38,0.34,0.25,0.26,0.3,0.34,0.3,0.36,0.28,0.18,0.25,0.31,0.27,0.3,0.3,0.32,0.56,0.29,0.31,0.3,0.38,0.32,0.53,0.26,0.38,0.47
North Dakota 1981,0.27,0.26,0.28,0.27,0.31,0.35,0.17,0.23,0.36,0.29,0.28,0.3,0.45,0.16,0.23,0.25,0.3,0.21,0.27,0.28,0.26,0.25,0.28,0.29,0.31,0.33,0.4,0.29,0.25,0.34,0.36,0.26,0.29,0.33,0.36,0.3,0.35,0.22,0.29,0.25,0.22,0.22,0.27,0.31,0.24,0.26,0.27,0.31,0.27,0.28,0.38,0.31,0.29,0.31,0.34,0.24,0.27,0.34,0.34,0.33,0.29,0.25,0.25,0.28,0.28,0.33,0.35,0.2,0.33,0.11,0.3,0.24,0.2,0.23,0.35,0.31,0.27,0.3,0.34,0.39,0.39,0.22,0.29,0.28,0.82,1.0,0.22,0.34,0.3,0.23,0.24,0.27,0.31,0.28,0.32,0.29,0.16,0.23,0.28,0.26,0.28,0.29,0.28,0.36,0.27,0.3,0.28,0.35,0.32,0.36,0.24,0.34,0.3
Ohio 1802,0.23,0.21,0.23,0.21,0.24,0.21,0.14,0.16,0.23,0.24,0.22,0.19,0.27,0.1,0.16,0.2,0.21,0.17,0.24,0.24,0.17,0.21,0.23,0.24,0.24,0.23,0.23,0.22,0.18,0.25,0.25,0.21,0.24,0.25,0.25,0.25,0.27,0.18,0.22,0.18,0.19,0.19,0.23,0.23,0.2,0.21,0.21,0.24,0.22,0.21,0.25,0.22,0.23,0.24,0.23,0.2,0.21,0.23,0.24,0.21,0.2,0.21,0.21,0.23,0.23,0.24,0.24,0.15,0.22,0.08,0.24,0.18,0.15,0.18,0.24,0.2,0.19,0.24,0.26,0.27,0.26,0.16,0.19,0.2,0.23,0.22,1.0,0.59,0.18,0.19,0.22,0.23,0.23,0.21,0.22,0.2,0.11,0.16,0.22,0.19,0.23,0.22,0.17,0.22,0.23,0.24,0.23,0.2,0.2,0.24,0.2,0.23,0.21
Ohio 1851,0.28,0.32,0.34,0.32,0.31,0.45,0.2,0.28,0.46,0.3,0.29,0.35,0.56,0.17,0.27,0.27,0.33,0.23,0.29,0.32,0.36,0.27,0.28,0.3,0.32,0.41,0.5,0.3,0.26,0.37,0.39,0.26,0.32,0.4,0.45,0.31,0.69,0.26,0.31,0.28,0.25,0.23,0.29,0.36,0.26,0.3,0.3,0.35,0.3,0.32,0.47,0.36,0.51,0.34,0.4,0.24,0.28,0.4,0.37,0.36,0.3,0.25,0.25,0.28,0.27,0.36,0.36,0.25,0.39,0.13,0.35,0.29,0.24,0.27,0.42,0.37,0.31,0.32,0.39,0.47,0.49,0.25,0.35,0.32,0.38,0.34,0.59,1.0,0.37,0.26,0.26,0.3,0.36,0.36,0.39,0.34,0.18,0.26,0.31,0.29,0.3,0.34,0.36,0.3,0.27,0.3,0.29,0.42,0.32,0.41,0.25,0.42,0.32
Oklahoma 1907,0.22,0.26,0.27,0.27,0.25,0.43,0.16,0.25,0.39,0.25,0.23,0.3,0.48,0.18,0.2,0.21,0.26,0.19,0.23,0.26,0.31,0.22,0.22,0.24,0.28,0.37,0.45,0.27,0.25,0.31,0.35,0.2,0.25,0.33,0.35,0.24,0.31,0.21,0.24,0.23,0.21,0.18,0.22,0.29,0.21,0.25,0.25,0.3,0.25,0.26,0.39,0.33,0.26,0.28,0.35,0.21,0.26,0.36,0.32,0.32,0.25,0.2,0.21,0.23,0.24,0.32,0.31,0.2,0.35,0.12,0.3,0.24,0.19,0.22,0.36,0.34,0.28,0.27,0.32,0.42,0.45,0.21,0.28,0.24,0.34,0.3,0.18,0.37,1.0,0.21,0.21,0.24,0.3,0.29,0.33,0.27,0.14,0.22,0.26,0.26,0.24,0.28,0.33,0.27,0.23,0.26,0.25,0.39,0.29,0.37,0.22,0.37,0.29
Pennsylvania 1776,0.24,0.25,0.26,0.25,0.26,0.25,0.17,0.18,0.27,0.25,0.23,0.21,0.33,0.15,0.18,0.21,0.24,0.55,0.24,0.25,0.2,0.22,0.24,0.25,0.25,0.25,0.27,0.23,0.19,0.26,0.26,0.22,0.25,0.29,0.3,0.26,0.28,0.21,0.23,0.18,0.23,0.22,0.26,0.28,0.28,0.25,0.25,0.29,0.25,0.25,0.3,0.42,0.25,0.27,0.27,0.2,0.21,0.26,0.25,0.23,0.2,0.21,0.21,0.23,0.23,0.25,0.26,0.17,0.25,0.24,0.32,0.23,0.46,0.21,0.27,0.23,0.26,0.25,0.27,0.31,0.3,0.46,0.22,0.22,0.25,0.23,0.19,0.26,0.21,1.0,0.59,0.61,0.62,0.65,0.25,0.24,0.4,0.22,0.25,0.23,0.25,0.27,0.2,0.23,0.23,0.24,0.23,0.22,0.2,0.27,0.2,0.27,0.22
Pennsylvania 1790,0.26,0.24,0.26,0.25,0.27,0.25,0.17,0.18,0.27,0.28,0.25,0.23,0.33,0.13,0.19,0.23,0.24,0.2,0.28,0.28,0.21,0.24,0.26,0.27,0.28,0.27,0.28,0.26,0.21,0.29,0.29,0.24,0.28,0.29,0.29,0.29,0.3,0.2,0.25,0.21,0.24,0.23,0.27,0.28,0.23,0.25,0.25,0.28,0.26,0.25,0.3,0.26,0.27,0.28,0.27,0.23,0.24,0.27,0.28,0.25,0.23,0.24,0.25,0.27,0.27,0.28,0.27,0.17,0.26,0.1,0.28,0.21,0.19,0.22,0.29,0.24,0.22,0.28,0.31,0.34,0.32,0.18,0.22,0.22,0.26,0.24,0.22,0.26,0.21,0.59,1.0,0.66,0.64,0.67,0.26,0.22,0.13,0.2,0.59,0.22,0.26,0.26,0.2,0.26,0.27,0.28,0.27,0.23,0.23,0.29,0.23,0.28,0.24
Pennsylvania 1839,0.28,0.26,0.28,0.26,0.29,0.29,0.18,0.2,0.31,0.3,0.27,0.26,0.37,0.15,0.22,0.25,0.27,0.22,0.3,0.31,0.24,0.26,0.28,0.29,0.3,0.31,0.32,0.28,0.23,0.32,0.32,0.26,0.3,0.32,0.32,0.31,0.33,0.22,0.3,0.23,0.25,0.25,0.3,0.31,0.25,0.28,0.28,0.32,0.29,0.28,0.35,0.29,0.29,0.31,0.31,0.25,0.27,0.3,0.31,0.3,0.25,0.25,0.27,0.29,0.29,0.31,0.3,0.19,0.31,0.11,0.31,0.24,0.2,0.24,0.32,0.27,0.25,0.31,0.35,0.38,0.36,0.2,0.25,0.24,0.3,0.27,0.23,0.3,0.24,0.61,0.66,1.0,0.69,0.71,0.3,0.25,0.14,0.22,0.29,0.24,0.28,0.28,0.23,0.28,0.29,0.31,0.29,0.27,0.26,0.32,0.25,0.32,0.27
Pennsylvania 1874,0.29,0.28,0.3,0.29,0.32,0.38,0.19,0.23,0.37,0.31,0.29,0.5,0.46,0.18,0.25,0.27,0.3,0.23,0.29,0.32,0.28,0.27,0.29,0.3,0.31,0.35,0.39,0.29,0.24,0.34,0.37,0.27,0.31,0.38,0.38,0.31,0.37,0.24,0.3,0.26,0.26,0.25,0.31,0.36,0.26,0.29,0.29,0.33,0.3,0.31,0.4,0.35,0.32,0.34,0.37,0.25,0.28,0.35,0.34,0.32,0.27,0.26,0.27,0.29,0.29,0.34,0.34,0.2,0.34,0.13,0.33,0.26,0.23,0.25,0.36,0.31,0.28,0.32,0.41,0.44,0.43,0.22,0.29,0.27,0.34,0.31,0.23,0.36,0.3,0.62,0.64,0.69,1.0,0.74,0.35,0.29,0.18,0.24,0.3,0.26,0.3,0.31,0.31,0.29,0.28,0.31,0.3,0.34,0.29,0.37,0.26,0.37,0.3
Pennsylvania 1969,0.26,0.29,0.31,0.3,0.29,0.34,0.18,0.25,0.38,0.28,0.26,0.27,0.44,0.15,0.22,0.24,0.29,0.22,0.29,0.31,0.31,0.25,0.26,0.28,0.29,0.34,0.4,0.27,0.23,0.33,0.33,0.24,0.29,0.36,0.41,0.29,0.35,0.24,0.27,0.23,0.26,0.24,0.29,0.34,0.25,0.28,0.28,0.32,0.29,0.29,0.37,0.3,0.29,0.31,0.33,0.23,0.25,0.33,0.32,0.28,0.25,0.23,0.24,0.26,0.26,0.31,0.31,0.22,0.32,0.11,0.32,0.25,0.22,0.25,0.37,0.31,0.25,0.3,0.35,0.41,0.43,0.21,0.28,0.27,0.3,0.28,0.21,0.36,0.29,0.65,0.67,0.71,0.74,1.0,0.31,0.3,0.17,0.23,0.28,0.25,0.27,0.32,0.28,0.26,0.26,0.28,0.27,0.32,0.26,0.35,0.23,0.36,0.28
Rhode Island 1843,0.29,0.3,0.31,0.3,0.31,0.41,0.18,0.24,0.39,0.31,0.3,0.35,0.5,0.2,0.28,0.29,0.34,0.22,0.28,0.31,0.32,0.28,0.29,0.3,0.31,0.35,0.4,0.29,0.25,0.35,0.35,0.27,0.31,0.37,0.38,0.31,0.38,0.25,0.3,0.26,0.24,0.24,0.29,0.34,0.25,0.28,0.28,0.34,0.29,0.31,0.44,0.37,0.31,0.35,0.41,0.25,0.28,0.37,0.34,0.33,0.26,0.25,0.26,0.29,0.28,0.34,0.34,0.21,0.36,0.12,0.34,0.28,0.24,0.25,0.38,0.33,0.29,0.32,0.36,0.44,0.44,0.24,0.32,0.29,0.36,0.32,0.22,0.39,0.33,0.25,0.26,0.3,0.35,0.31,1.0,0.67,0.19,0.25,0.31,0.28,0.3,0.32,0.34,0.29,0.28,0.3,0.28,0.36,0.29,0.38,0.24,0.37,0.3
Rhode Island 1986,0.26,0.3,0.32,0.3,0.29,0.3,0.17,0.24,0.34,0.27,0.26,0.26,0.43,0.16,0.23,0.25,0.3,0.21,0.25,0.27,0.28,0.25,0.26,0.27,0.27,0.29,0.35,0.26,0.22,0.31,0.3,0.24,0.27,0.33,0.38,0.28,0.34,0.25,0.27,0.21,0.22,0.21,0.26,0.3,0.25,0.27,0.27,0.32,0.27,0.28,0.35,0.29,0.26,0.3,0.32,0.21,0.23,0.32,0.3,0.26,0.24,0.22,0.22,0.24,0.24,0.28,0.29,0.21,0.3,0.11,0.3,0.24,0.21,0.23,0.32,0.28,0.25,0.27,0.3,0.35,0.35,0.22,0.27,0.28,0.28,0.29,0.2,0.34,0.27,0.24,0.22,0.25,0.29,0.3,0.67,1.0,0.18,0.22,0.26,0.26,0.28,0.32,0.28,0.24,0.24,0.26,0.24,0.29,0.23,0.32,0.21,0.31,0.26
South Carolina 1776,0.15,0.15,0.17,0.16,0.16,0.17,0.1,0.11,0.17,0.15,0.15,0.14,0.25,0.21,0.14,0.15,0.19,0.49,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.16,0.19,0.14,0.12,0.17,0.16,0.15,0.16,0.2,0.22,0.16,0.19,0.13,0.16,0.11,0.13,0.12,0.15,0.19,0.15,0.19,0.18,0.21,0.22,0.24,0.2,0.35,0.15,0.18,0.21,0.11,0.12,0.16,0.15,0.14,0.11,0.13,0.12,0.13,0.12,0.15,0.17,0.09,0.16,0.43,0.25,0.16,0.59,0.13,0.19,0.15,0.29,0.17,0.18,0.21,0.2,0.35,0.17,0.16,0.18,0.16,0.11,0.18,0.14,0.4,0.13,0.14,0.18,0.17,0.19,0.18,1.0,0.57,0.4,0.37,0.45,0.44,0.36,0.14,0.13,0.14,0.14,0.15,0.13,0.17,0.11,0.18,0.13
South Carolina 1778,0.21,0.21,0.23,0.21,0.22,0.26,0.15,0.17,0.28,0.23,0.2,0.21,0.35,0.18,0.19,0.19,0.25,0.26,0.22,0.24,0.21,0.2,0.21,0.22,0.23,0.25,0.29,0.23,0.19,0.27,0.26,0.2,0.23,0.27,0.28,0.23,0.26,0.18,0.22,0.18,0.2,0.17,0.21,0.24,0.21,0.28,0.26,0.31,0.31,0.33,0.33,0.29,0.23,0.24,0.28,0.19,0.19,0.25,0.24,0.24,0.19,0.19,0.19,0.21,0.2,0.25,0.24,0.14,0.25,0.17,0.34,0.24,0.27,0.2,0.28,0.24,0.31,0.26,0.27,0.31,0.3,0.2,0.21,0.19,0.25,0.23,0.16,0.26,0.22,0.22,0.2,0.22,0.24,0.23,0.25,0.22,0.57,1.0,0.53,0.47,0.52,0.5,0.39,0.22,0.21,0.23,0.22,0.23,0.21,0.26,0.18,0.28,0.21
South Carolina 1790,0.27,0.27,0.29,0.27,0.29,0.31,0.18,0.22,0.33,0.3,0.27,0.26,0.39,0.15,0.22,0.25,0.29,0.22,0.29,0.3,0.24,0.26,0.28,0.29,0.3,0.31,0.34,0.29,0.25,0.34,0.33,0.26,0.3,0.33,0.33,0.31,0.33,0.22,0.28,0.24,0.25,0.23,0.27,0.29,0.26,0.3,0.29,0.34,0.3,0.3,0.39,0.32,0.29,0.31,0.31,0.25,0.27,0.32,0.32,0.3,0.26,0.25,0.27,0.29,0.28,0.32,0.3,0.2,0.32,0.11,0.34,0.26,0.21,0.25,0.34,0.29,0.29,0.32,0.34,0.38,0.36,0.23,0.27,0.25,0.31,0.28,0.22,0.31,0.26,0.25,0.59,0.29,0.3,0.28,0.31,0.26,0.4,0.53,1.0,0.57,0.64,0.61,0.47,0.29,0.29,0.3,0.29,0.28,0.27,0.33,0.25,0.34,0.28
South Carolina 1861,0.24,0.46,0.29,0.27,0.26,0.27,0.16,0.23,0.31,0.26,0.24,0.23,0.37,0.15,0.19,0.21,0.25,0.21,0.24,0.26,0.25,0.23,0.42,0.26,0.29,0.27,0.32,0.25,0.22,0.29,0.29,0.22,0.25,0.3,0.31,0.26,0.29,0.23,0.23,0.2,0.22,0.19,0.23,0.25,0.24,0.26,0.26,0.49,0.26,0.26,0.34,0.27,0.25,0.28,0.28,0.21,0.23,0.31,0.27,0.27,0.23,0.22,0.22,0.41,0.24,0.28,0.27,0.19,0.29,0.11,0.31,0.23,0.18,0.22,0.31,0.26,0.28,0.27,0.28,0.32,0.32,0.28,0.3,0.26,0.27,0.26,0.19,0.29,0.26,0.23,0.22,0.24,0.26,0.25,0.28,0.26,0.37,0.47,0.57,1.0,0.66,0.61,0.49,0.26,0.24,0.26,0.25,0.26,0.23,0.3,0.22,0.3,0.25
South Carolina 1865,0.29,0.29,0.54,0.29,0.32,0.27,0.18,0.21,0.3,0.31,0.29,0.25,0.38,0.15,0.23,0.26,0.3,0.23,0.28,0.3,0.24,0.27,0.3,0.54,0.31,0.28,0.31,0.29,0.24,0.33,0.31,0.27,0.31,0.33,0.34,0.31,0.34,0.24,0.29,0.23,0.24,0.24,0.29,0.3,0.26,0.29,0.29,0.34,0.29,0.3,0.34,0.3,0.29,0.32,0.31,0.25,0.26,0.3,0.31,0.27,0.25,0.26,0.26,0.31,0.29,0.3,0.31,0.2,0.29,0.11,0.32,0.24,0.2,0.24,0.32,0.26,0.26,0.3,0.32,0.34,0.33,0.23,0.28,0.28,0.3,0.28,0.23,0.3,0.24,0.25,0.26,0.28,0.3,0.27,0.3,0.28,0.45,0.52,0.64,0.66,1.0,0.72,0.55,0.28,0.28,0.3,0.29,0.26,0.25,0.31,0.24,0.3,0.27
South Carolina 1868,0.28,0.33,0.35,0.57,0.31,0.31,0.2,0.25,0.35,0.3,0.49,0.27,0.42,0.15,0.22,0.25,0.29,0.23,0.28,0.3,0.29,0.27,0.29,0.3,0.53,0.32,0.36,0.28,0.23,0.32,0.32,0.26,0.3,0.36,0.39,0.31,0.36,0.27,0.29,0.23,0.26,0.23,0.28,0.31,0.27,0.3,0.3,0.34,0.31,0.52,0.35,0.3,0.29,0.32,0.32,0.24,0.26,0.34,0.31,0.28,0.25,0.25,0.25,0.28,0.5,0.31,0.32,0.23,0.32,0.11,0.33,0.25,0.21,0.26,0.34,0.29,0.26,0.3,0.33,0.38,0.37,0.23,0.47,0.28,0.3,0.29,0.22,0.34,0.28,0.27,0.26,0.28,0.31,0.32,0.32,0.32,0.44,0.5,0.61,0.61,0.72,1.0,0.58,0.27,0.27,0.29,0.28,0.3,0.25,0.34,0.24,0.34,0.28
South Carolina 1896,0.23,0.24,0.26,0.25,0.26,0.43,0.15,0.21,0.35,0.24,0.24,0.3,0.47,0.14,0.22,0.22,0.27,0.18,0.22,0.25,0.29,0.22,0.23,0.24,0.26,0.35,0.41,0.24,0.21,0.29,0.34,0.21,0.26,0.32,0.34,0.24,0.32,0.2,0.25,0.23,0.18,0.18,0.23,0.3,0.2,0.22,0.22,0.26,0.22,0.25,0.35,0.32,0.24,0.27,0.35,0.19,0.23,0.32,0.3,0.31,0.24,0.2,0.2,0.22,0.22,0.29,0.3,0.19,0.31,0.12,0.26,0.22,0.19,0.2,0.32,0.3,0.24,0.25,0.3,0.4,0.43,0.21,0.29,0.28,0.32,0.28,0.17,0.36,0.33,0.2,0.2,0.23,0.31,0.28,0.34,0.28,0.36,0.39,0.47,0.49,0.55,0.58,1.0,0.25,0.21,0.24,0.24,0.37,0.29,0.34,0.2,0.33,0.26
South Dakota 1889,0.27,0.26,0.27,0.26,0.3,0.33,0.17,0.2,0.32,0.29,0.27,0.26,0.39,0.14,0.2,0.23,0.25,0.2,0.27,0.29,0.23,0.25,0.27,0.28,0.31,0.32,0.35,0.28,0.24,0.32,0.34,0.25,0.3,0.32,0.32,0.3,0.32,0.21,0.27,0.23,0.23,0.22,0.27,0.29,0.24,0.27,0.27,0.31,0.27,0.27,0.34,0.29,0.29,0.3,0.31,0.24,0.28,0.32,0.32,0.3,0.26,0.25,0.26,0.28,0.29,0.32,0.5,0.19,0.32,0.1,0.3,0.24,0.19,0.23,0.32,0.28,0.26,0.3,0.33,0.38,0.37,0.2,0.25,0.24,0.56,0.36,0.22,0.3,0.27,0.23,0.26,0.28,0.29,0.26,0.29,0.24,0.14,0.22,0.29,0.26,0.28,0.27,0.25,1.0,0.28,0.3,0.29,0.3,0.27,0.49,0.25,0.33,0.45
Texas 1845,0.28,0.26,0.27,0.26,0.3,0.27,0.17,0.2,0.29,0.3,0.27,0.24,0.35,0.14,0.2,0.24,0.26,0.2,0.28,0.29,0.21,0.25,0.28,0.29,0.31,0.29,0.3,0.29,0.24,0.32,0.32,0.26,0.29,0.3,0.3,0.31,0.32,0.21,0.27,0.23,0.24,0.24,0.28,0.28,0.24,0.55,0.27,0.31,0.28,0.27,0.33,0.27,0.29,0.3,0.29,0.25,0.26,0.3,0.31,0.28,0.26,0.26,0.27,0.3,0.3,0.31,0.3,0.19,0.29,0.09,0.3,0.23,0.18,0.23,0.31,0.26,0.25,0.31,0.33,0.35,0.33,0.19,0.24,0.24,0.29,0.27,0.23,0.27,0.23,0.23,0.27,0.29,0.28,0.26,0.28,0.24,0.13,0.21,0.29,0.24,0.28,0.27,0.21,0.28,1.0,0.73,0.72,0.51,0.26,0.31,0.25,0.31,0.27
